Year,Month,Day,GG,DD,Toto
2023,5,11,155,140,180
2023,5,11,115,155,110
2023,5,18,90,25,135
2023,5,18,105,165,55
2023,5,25,165,135,160
2023,5,25,140,115,70
2023,5,30,150,125,60
2023,5,30,155,155,120
2023,6,10,105,140,140
2023,6,10,150,150,140
2023,6,10,130,150,140
2023,6,10,170,165,160
2023,6,10,190,165,165
2023,6,10,105,80,100
2023,6,10,100,140,125
2023,6,15,155,185,115
2023,6,15,150,145,160
2023,7,18,65,95,100
2023,7,18,125,95,130
2023,7,25,125,115,140
2023,7,25,65,120,110
2023,8,2,160,110,110
2023,8,2,240,125,110
