Year,Month,Day,GG,DD,Toto
2017,7,6,125,75,115
2017,7,6,110,105,90
2017,7,6,75,65,55
2017,6,16,35,40,95
2017,6,16,80,75,35
2017,6,16,100,45,85
2017,5,1,95,35,80
2017,5,1,45,40,40
2017,4,1,100,100,130
2017,4,1,95,10,80
2017,4,1,110,75,125
2017,1,11,85,50,50
2017,1,11,70,15,95
2017,1,11,100,120,80
2017,12,15,100,105,160
2017,12,15,120,135,65
2017,12,15,90,70,170
2017,7,29,155,30,130
2017,7,29,110,125,100
2017,7,29,130,105,95
2017,8,10,100,80,95
2017,8,10,135,110,90
2017,8,10,90,90,100
2017,8,25,80,110,80
2017,8,25,95,110,135
2017,8,25,150,130,130
2017,8,25,35,115,130
2017,9,1,80,110,80
2017,9,1,95,110,135
2017,9,1,150,130,130
2017,9,1,35,115,130
2017,9,9,135,120,110
2017,9,9,155,5,125
2017,9,9,65,90,55
2017,9,9,55,110,110
2017,9,22,120,100,160
2017,9,22,70,85,80
2017,9,16,115,70,40
2017,10,5,85,40,70
2017,10,5,110,130,115
2017,10,5,90,85,95
2017,9,28,90,125,80
2017,9,28,145,120,155
2017,9,28,160,145,170
2017,10,12,95,100,55
2017,10,12,75,155,95
2017,10,12,120,110,110
2017,10,19,80,130,115
2017,10,19,90,85,95
2017,10,19,65,70,30
2017,10,26,135,80,145
2017,10,26,50,35,90
2017,10,26,115,145,115
2017,10,26,145,145,90
2017,11,2,180,125,155
2017,11,2,145,170,125
2017,11,2,105,90,115
2017,11,2,140,135,100
2017,11,9,75,90,90
2017,11,9,95,100,95
2017,11,9,155,145,150
2017,11,11,65,45,40
2017,11,11,125,130,100
2017,11,11,130,125,125
2017,11,11,170,50,150
2017,11,11,135,110,155
2017,11,11,50,120,55
2017,11,11,115,90,70
2017,11,11,120,115,75
2017,11,11,135,80,95
2017,11,11,50,65,25
2017,11,11,130,125,120
2017,11,11,100,85,85
2017,11,17,115,90,135
2017,11,17,110,110,100
2017,11,17,65,70,65
2017,11,17,60,120,110
2017,11,23,100,100,100
2017,11,23,75,40,100
2017,11,23,170,145,95
2017,11,23,120,120,105
2017,12,2,40,65,90
2017,12,2,120,140,80
2017,12,2,55,95,75
2017,12,2,130,75,95
2017,12,2,75,25,35
2018,1,11,125,110,120
2018,1,11,120,60,145
2018,1,11,115,135,120
2018,1,21,130,100,125
2018,1,21,80,100,50
2018,1,21,160,140,90
2018,1,31,85,125,135
2018,1,31,105,130,140
2018,1,31,150,100,155
2018,2,9,110,80,60
2018,2,9,115,140,155
2018,2,9,115,80,115
2018,2,15,170,45,75
2018,2,15,120,115,125
2018,2,15,30,5,105
2018,2,23,55,40,35
2018,2,23,90,60,95
2018,2,23,65,105,105
2018,2,24,140,105,150
2018,2,24,105,70,85
2018,2,24,70,110,155
2018,2,24,90,90,65
2018,3,4,100,65,115
2018,3,4,145,135,105
2018,3,4,130,125,85
2018,3,4,65,70,65
2018,3,8,135,145,145
2018,3,8,135,70,95
2018,3,8,60,150,125
2018,3,8,125,60,65
2018,3,15,135,110,110
2018,3,15,195,155,180
2018,3,15,125,105,130
2018,3,15,95,100,110
2018,3,22,70,120,85
2018,3,22,115,115,115
2018,3,22,100,130,105
2018,3,23,105,85,130
2018,3,24,70,50,15
2018,3,24,130,100,130
2018,5,5,90,65,35
2018,5,5,90,120,110
2018,5,5,155,165,145
2018,5,5,115,50,45
2018,5,5,85,80,110
2018,5,5,170,150,175
2018,5,12,145,125,140
2018,5,12,130,155,135
2018,5,12,165,165,170
2018,5,25,65,105,90
2018,5,25,165,60,55
2018,6,1,85,20,85
2018,6,1,105,100,90
2018,6,1,90,55,65
2018,6,13,110,95,135
2018,6,13,130,105,95
2018,6,21,100,130,125
2018,6,21,90,60,85
2018,6,21,135,80,125
2018,6,27,155,120,130
2018,6,27,70,100,85
2018,6,27,115,90,120
2018,7,4,130,60,155
2018,7,4,155,125,90
2018,7,4,125,115,95
2018,7,26,-10,55,115
2018,7,26,80,85,80
2018,8,9,130,105,95
2018,8,9,100,35,110
2018,8,9,40,65,50
2018,8,9,60,65,35
2018,8,19,115,110,105
2018,8,22,75,110,95
2018,8,22,90,130,85
2018,8,24,95,105,155
2018,8,24,100,135,100
2018,8,24,130,65,90
2018,8,30,145,135,130
2018,8,30,120,150,140
2018,8,30,80,45,65
2018,8,30,100,130,95
2018,8,30,130,160,110
2018,9,15,95,110,100
2018,9,15,130,105,120
2018,9,15,120,100,75
2018,9,15,100,100,115
2018,9,27,35,130,85
2018,9,27,115,120,125
2018,9,27,150,115,115
2018,10,4,130,120,130
2018,10,4,125,110,105
2018,10,4,145,115,190
2018,10,25,40,115,75
2018,10,25,55,110,100
2018,10,25,125,90,75
2018,10,1,145,125,105
2018,10,1,135,35,95
2018,11,11,110,100,100
2018,11,11,145,150,180
2018,11,16,80,85,135
2018,11,16,135,95,125
2018,11,16,80,95,35
2018,11,23,105,90,130
2018,11,23,85,70,55
2018,11,23,130,125,155
2018,11,30,55,100,35
2018,11,30,145,110,150
2018,11,30,140,115,120
2018,11,30,40,85,60
2018,12,14,80,45,40
2018,12,14,170,180,130
2018,12,14,85,45,80
2018,12,19,100,105,105
2018,12,19,80,100,85
2018,12,19,75,100,135
2018,12,30,135,120,135
2018,12,30,120,55,60
2018,12,30,110,115,80
2018,12,30,140,175,160
2019,1,10,90,100,130
2019,1,10,80,70,80
2019,1,17,105,55,115
2019,1,17,145,175,155
2019,1,17,75,75,130
2019,1,31,105,20,70
2019,1,31,85,165,75
2019,1,31,70,85,55
2019,2,14,165,140,135
2019,2,14,150,80,55
2019,2,21,90,95,95
2019,2,21,150,125,110
2019,2,21,110,135,100
2019,3,6,95,85,95
2019,3,6,120,140,150
2019,3,14,115,95,149
2019,3,14,140,135,140
2019,3,14,90,70,100
2019,3,21,105,80,125
2019,3,21,130,150,165
2019,3,21,65,85,95
2019,4,4,105,95,80
2019,4,4,105,140,110
2019,4,11,120,125,130
2019,4,11,130,115,140
2019,4,11,125,110,150
